time_s,segment,joint1_pos,joint2_pos,joint3_pos,joint1_vel,joint2_vel,joint3_vel,joint1_acc,joint2_acc,joint3_acc,gripper_pos
1.66,1,3.68575997275053,-2.36832651726175,-15.3544864273504,-0.0502129018767247,0.00956172342773937,0.127124786324786,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.68,1,3.68474966496578,-2.36813413077832,-15.3519286153846,-0.050817876598131,0.00967692491482057,0.12865641025641,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.7,1,3.68372725768661,-2.36793944026515,-15.3493401709402,-0.0514228513195374,0.00979212640190177,0.130188034188034,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.72,1,3.682692750913,-2.36774244572224,-15.3467210940171,-0.0520278260409437,0.00990732788898297,0.131719658119658,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.74,1,3.68164614464497,-2.36754314714959,-15.3440713846154,-0.05263280076235,0.0100225293760642,0.133251282051282,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.76,1,3.68058743888251,-2.3673415445472,-15.341391042735,-0.0532377754837563,0.0101377308631454,0.134782905982906,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.78,1,3.67951663362562,-2.36713763791507,-15.3386800683761,-0.0538427502051627,0.0102529323502266,0.13631452991453,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.8,1,3.6784337288743,-2.36693142725319,-15.3359384615385,-0.054447724926569,0.0103681338373078,0.137846153846154,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.82,1,3.67733872462856,-2.36672291256158,-15.3331662222222,-0.0550526996479753,0.010483335324389,0.139377777777778,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.84,1,3.67623162088838,-2.36651209384022,-15.3303633504274,-0.0556576743693816,0.0105985368114701,0.140909401709402,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.86,1,3.67511241765378,-2.36629897108912,-15.3275298461538,-0.0562626490907879,0.0107137382985513,0.142441025641026,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.88,1,3.67398111492475,-2.36608354430828,-15.3246657094017,-0.0568676238121943,0.0108289397856325,0.14397264957265,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.9,1,3.67283771270129,-2.36586581349769,-15.3217709401709,-0.0574725985336006,0.0109441412727137,0.145504273504274,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.92,1,3.67168221098341,-2.36564577865737,-15.3188455384615,-0.0580775732550069,0.0110593427597949,0.147035897435897,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.94,1,3.67051460977109,-2.3654234397873,-15.3158895042735,-0.0586825479764132,0.0111745442468761,0.148567521367521,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.96,1,3.66933490906435,-2.36519879688749,-15.3129028376068,-0.0592875226978195,0.0112897457339573,0.150099145299145,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
1.98,1,3.66814310886318,-2.36497184995794,-15.3098855384615,-0.0598924974192259,0.0114049472210385,0.151630769230769,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2,1,3.66693920916758,-2.36474259899865,-15.3068376068376,-0.0604974721406322,0.0115201487081197,0.153162393162393,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.02,1,3.66572320997756,-2.36451104400962,-15.303759042735,-0.0611024468620385,0.0116353501952009,0.154694017094017,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.04,1,3.6644951112931,-2.36427718499084,-15.3006498461538,-0.0617074215834448,0.0117505516822821,0.156225641025641,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.06,1,3.66325491311422,-2.36404102194233,-15.297510017094,-0.0623123963048512,0.0118657531693633,0.157757264957265,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.08,1,3.66200261544091,-2.36380255486407,-15.2943395555556,-0.0629173710262575,0.0119809546564445,0.159288888888889,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.1,1,3.66073821827317,-2.36356178375607,-15.2911384615385,-0.0635223457476638,0.0120961561435257,0.160820512820513,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.12,1,3.659461721611,-2.36331870861833,-15.2879067350427,-0.0641273204690701,0.0122113576306069,0.162352136752137,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
2.14,1,3.6581731254544,-2.36307332945084,-15.2846443760684,-0.0647322951904764,0.0123265591176881,0.163883760683761,-0.0302487360703161,0.00576007435405986,0.0765811965811966,0
